Product Name,Product Description,SKU
NEW BUYER BUNDLE,"Skittles, mixed taffy , airheads",BNDL-NB
3 ITEM SAMPLER #1,,BNDL-SMPL3
7 ITEM SAMPLER #1,nan,BNDL-SMPL7
BIT O HONEY  #1,2oz,CNF-BH-2
HOT CHOCOLATE MARSHMALLOWS #1,freeze dried 1oz,CNF-MMCHOC-1
VANILLA MARSHMALLOW  #1,1oz,CNF-MMVAN-1
SPREE #1,3oz SPREES,CNF-SPREE-3
AIR HEADS #1,2oz AIR HEADS,CNF-AH-2
BUTTERFINGERS #1,2.7 oz,CNF-BF-2.7
OVER PUFFED BIT O HONEY,1oz,CNF-BHOP-1
NEW CANDY CORN #1,4oz,CNF-CNDYC-4
RED HOTS #1,4oz ea,CNF-RH-4
SWEETARTS #1,3oz SWEETTSRTS,CNF-SWTRT-3
UNICORN HORNS #1,nerd gummies inside fruit roll ups,CNF-UHOG-2
GUSHERS BANANA CREAM PIE 11oz #1,11oz,GU-BCP-11
GUSHERS BLUE RASPBERRY  #1,"13oz Comes with foil, ice and a free bag of blue raspberry Skittles",GU-BLURAS-13
GUSHERS KEY LIME PIE #1,11oz white chocolate key lime pie gushers BUY ICE AND FOIL IN BIN,GU-CHOC-KLP-11
GUSHERS COLADA #1,"11oz mango, pineapple, toasted coconut white chocolate coated gushers",GU-CLDA-11
11oz DUBAI GUSHERS #1,"Comes with foil, ice and ice cream freebie",GU-DB-11
GUSHERS GRAPE  #1,"13oz Comes with foil, ice and a free bag of grape Skittles",GU-GR-13
GUSHERS MANGO #1,"13oz Comes with foil, ice and a free bag of frerzw dried candy.",GU-MNG-13
GUSHERS PINEAPPLE  #1,"13oz comes with foil, ice and pineapple Skittles",GU-PNP-13
GUSHERS REAPER MANGO #1,13oz very spicy. Comes with ice if needed and free bag of pineapple inferno Skittles,GU-RPRMNG-13
GUSHERS MILK CHOC SAMOAS #1,"coconut , Carmel, milk choc coated gifts",GU-SAMOA-13
GUSHERS SOUR BLUE RASPBERRY #1,"13oz Comes with foil, ice and a free bag of sour blue raspberry SKITTLES",GU-SOUR-BLURAS-13
GUSHERS SOUR GRAPE  #1,"13 oz  Comes with foil, ice and free bag of freeze dried marshmallows!",GU-SOUR-GR-13
GUSHERS SOUR GREEN APPLE #1,"13oz includes foil, ice, free bag of sour apple Skittles",GU-SOUR-GRNAPL-13
BITES ICE CREAM COOKIES AND CREAM #1,2oz cookies and cream ice cream bites,IC-CCRM-2
COOKIE SANDWICH #1,1 Cookie,IC-CKSND-1
MIXED CHEESECAKE 3.5oz 9pieces #1,"strawberry, regular and caramel",IC-CSKMIX-3.5
ICE - NEO #1,ICE CREAM SANDWICH NEAPOLITAN,IC-NEO-2
STRAWBERRY SHORTCAKE ICE CREAM BAR #1,1 bar,IC-STRBSK-1
LEMON HEADS 3oz #1,as shown,LH-OG-3
PINEAPPLE LEMON HEADS #1,3oz pineapple coated lemonhead,LH-PNP-3
ZOMBIE EYEBALLS  #1,sour blue raspberry lemonheads 3oz,LH-BLURAS-3
SMALL WOODEN HAMMER,for candy defense,MISC-HMR
SKITTLES BLUE RASPBERRY #1,SKITTLES BLUE RASPBERRY,SK-BLURAS-4
SKITTLES CHERRY #1,4oz,SK-CHRY-4
SKITTLES FRUIT PUNCH #1,4oz fruit punch Skittles,SK-FRPU-4
SKITTLES GRAPE #1,4oz,SK-GR-4
SKITTLES GREEN APPLE #1,4oz,SK-GRNAPL-4
INFERNO SKITTLES #1,4oz extremely spicy,SK-INF-4
SKITTLES MANGO #1,4oz,SK-MNG-4
SKITTLES ORIGINAL #1,4oz,SK-OG-4
SKITTLES PASSIONFRUIT #1,4oz,SK-PAFR-4
SKITTLES PINK LEMONADE #1,4oz Skittles pink lemonade,SK-PKLMN-4
SKITTLES PINEAPPLE #1,4oz,SK-PNP-4
SKITTLES SOUR CHERRY #1,as shown,SK-SOUR-CH-4
SKITTLES SOUR FRUIT PUNCH #1,4oz NEW,SK-SOUR-FRPU-4
SKITTLES SOUR GRAPE #1,4oz,SK-SOUR-GR-4
SKITTLES SOUR GREEN APPLE #1,4oz,SK-SOUR-GRAP-4
SKITTLES SOUR #1,4oz,SK-SOUR-OG-4
NEW SKITTLES SOUR STRAWBERRY #1,4oz,SK-SOUR-STRB-4
4oz SKITTLES SOUR WILDBERRY #1,4oz,SK-SOUR-WB-4
SKITTLES STRAWBERRY #1,4oz NEW,SK-STRB-4
SKITTLES WILDBERRY #1,4oz,SK-WB-4
SKITTLES WATERMELON/WILDBERRY #1,4 oz wildberry watermelon,SK-WBWM-4
SKITTLES WATERMELON #1,4oz,SK-WM-4
STRAWBERRIES FRUIT PUNCH #1,1 oz fruit punch coated strawberries,STRB-FP-1
STRAWBERRIES - WATERMELON #1,1oz WATERMELON COATED STRAWBERRIES,STRB-WM-1
BANANA TAFFY  #1,1oz,TFY-BAN-1
BUBBLEGUM TAFFY #1,5 pieces,TFY-BUBG-1
TAFFY CANDY CORN #1,1oz,TFY-CCRN-1
CHERRY LIMEADE TAFFY #1,cherry limeade 5 pieces 1oz,TFY-CHLMN-1
TAFFY HONEY LAVENDER  #1,1oz,TFY-HNYLAV-1
TAFFY - POPCORN  #1,1oz buttered popcorn taffy,TFY-PCRN-1
GOLDEN PEAR TAFFY #1,5 pieces,TFY-PEAR-1
TAFFY PEPPERMINT #1,1oz - 5 pieces,TFY-PEPMNT-1
TAFFY PUMPKIN PIE #1,1oz 5 pieces,TFY-PPIE-1
ROOTBEER TAFFY #1,5 pieces 1 oz,TFY-RB-1
